"eword","hword","egrammar"
"","सितारा मछली","Noun"
"","इटुमइल्","Noun"
" arian"," में विश्वास रखनेवाला","Suffix"
" eared"," कानवाला","Adjective"
" ial"," ईय","Suffix"
" ian","प्रत्यय","Suffix"
" iana","का","Suffix"
" ibid","उसी स्थान पर","Adverb"
" ling","छोटा","Suffix"
" ling","कार्य विशेष के लिए कोई व्यक्ति","Suffix"
" meal","अनाज का चूरा","Noun"
"""om""","ॐ","Noun"
"$","सितारा मछली","Noun"
"(small wooden) plate","तख्ती","Noun"
"**kit","सभी पुर्ज़ों का 
सेट","Noun"
"**kit","सभी पुर्ज़ों का सेट","Noun"
". inauguration","उद्घाटन,शुभारम्भ .","Noun"
"/unauthorised","अनधिकृत","Noun"
"0","०","Noun"
"0ffspring","प्रजा","noun"
"1","१","Noun"
"10","१०","Noun"
"1000","१०००","Noun"
"10th","दसवाँ","Adjective"
"11","११","Noun"
"12","१२","Noun"
"120","१२०","Noun"
"13","१३","Noun"
"13.98","१३.९८","Noun"
"130","१३०","Adjective"
"14","१४","Noun"
"14.36","१४.३६","Noun"
"14.95","१४.९५","Noun"
"15","१५","Noun"
"1500","१५००","Noun"
"155","१५५","Adjective"
"16","१६","Noun"
"16th","१६वाँ","Adjective"
"17","सत्रह","Noun"
"17th","सत्रहवाँ","Adjective"
"18","१८","Noun"
"180","पूर्ण परिवर्तन","Adjective"
"186","१८६","Noun"
"1865","१८६५","Noun"
"189","१८९","Noun"
"18th","१८ वाँ","Adjective"
"18th","१८ 
वाँ","Adjective"
"19","१९","Noun"
"190","१९०","Adjective"
"1981","१९८१","Noun"
"1998","१९९८","Noun"
"1999","१९९९","Noun"
"19th","१९वाँ","Adjective"
"2","२","Noun"
"2 dimensional","द्वि आयामी","Noun"
"2.5","अढ़ाई","Noun"
"2.5","ढाई","Noun"
"2/5th part of a second in indian system","विपल","Noun"
"20","२०","Noun"
"2000","२०००","Noun"
"2001","२००१","Noun"
"2002","२००२","Noun"
"2003","२००३","Noun"
"2004","२००४","Noun"
"20p","बीस पेन्स का सिक्का","Noun"
"20p","बीस 
पेन्स का सिक्का","Noun"
"20th","२०वाँ","Adjective"
"22","२२","Noun"
"23","२३","Noun"
"24","२४","Noun"
"24 minute span of time","घड़ी","Noun"
"25","२५","Noun"
"26","२६","Noun"
"29","२९","Noun"
"29th","२९ 
वाँ","Adjective"
"29th","२९ वाँ","Adjective"
"2d","द्विविमीय","Adjective"
"2p","दो पेन्स का सिक्का","Noun"
"2p","दो पेन्स का 
सिक्का","Noun"
"3","३","Noun"
"3 dimensional","त्रिविम","Noun"
"30","३०","Noun"
"31","३१","Adjective"
"32","३२","Adjective"
"33","३३","Adjective"
"34","३४","Adjective"
"35","३५","Adjective"
"36","३६","Adjective"
"37","३७","Adjective"
"38","३८","Adjective"
"39","३९","Adjective"
"3g","थ्री जी","noun"
"3rd","तीसरा","Adjective"
"4","४","Noun"
"40","४०","Noun"
"400","४००","Adjective"
"41","४१","Adjective"
"42","४२","Adjective"
"43","४३","Adjective"
"44","४४","Adjective"
"45","४५","Adjective"
"46","४६","Adjective"
"47","४७","Adjective"
"48","४८","Adjective"
"49","४९","Adjective"
"4g","फोर जी","noun"
"5","५","Noun"
"50","५०","Noun"
"500","५००","Noun"
"51","५१","Adjective"
"52","५२","Adjective"
"52nd chapter of gurucharitra","अवतरणिका","Noun"
"53","५३","Adjective"
"58","५८","Adjective"
"5g","फाइव जी","noun"
"5p","पांच पेन्स का सिक्का","Noun"
"5p","पांच 
पेन्स का 
सिक्का","Noun"
"6","६","Noun"
"60","६०","Noun"
"60th","६०वाँ","Adjective"
"68","६८","Adjective"
"6th","६वाँ","Adjective"
"7","७","Noun"
"7","सात","Noun"
"71","७१","Adjective"
"7th","७","Adjective"
"80","८०","Noun"
"83","८३","Adjective"
"86","८६","Adjective"
"90","नब्बे","Noun"
"90","९०","Noun"
"91","इंक्यानवे","Adjective"
"91","९१","Adjective"
"92","बानवे","Adjective"
"92","९२","Adjective"
"93","९३","Adjective"
"94","९४","Adjective"
"95","९५","Adjective"
"96","९६","Adjective"
"97","९७","Adjective"
"98","९८","Adjective"
"BROKE UP ","टूट गया","Noun"
"Consecutive serial number","अनुक्रमांक","Noun"
"De addiction","नशामुक्ति","Noun"
"Metra","बच्चेदानी","Noun"
"Mid   Room","मध्य कक्ष","Noun"
"Rallicar","ताँगा","Noun"
"a","एक","Determiner"
"a","ए","Noun"
"a 
bag of bones","हड्डियों का ढाँचा","Noun"
"a 
baptism of fire","प्रथम दुःखद अनुभव","Noun"
"a 
bolt from the blue","वज्रपात","Noun"
"a 
couple of","थोड़्","Noun"
"a 
cut above","से कहीं बेहतर","Noun"
"a 
day of reckoning","क़यामत का दिन","Noun"
"a 
feather in cap","उपलब्द्धि","Noun"
"a 
few","थोड़्","Noun"
"a 
fight to the finish","आक़ीरी दम तक की लड़ाई","Noun"
"a 
firm hand","सख्त नियंत्रण","Noun"
"a 
fortiori","निश्चयपूर्वक","Noun"
"a 
grand old man","आदरणीय व्यक्ति","Noun"
"a 
helluva","बहुत","Noun"
"a 
hill of beans","बहुत कम","Noun"
"a 
level","उच्च स्तरीय परीक्षा","Noun"
"a 
lump in ones throat","कण्ठरोध","Noun"
"a 
man of his word","बात का धनी","Noun"
"a 
matter of opinion","विवादास्पद","Noun"
"a 
nod is as good as a wink","समझदार को इशारा काफ़ी","Noun"
"a 
one","यही एक","Noun"
"a 
point of departure","प्रस्थान समय","Noun"
"a 
posteriori","अनुभवसापेक्ष","Noun"
"a 
priori","प्रागनुभव","Noun"
"a 
safe bet","निश्चित बात","Noun"
"a 
sense of occasion","विशेष अवसर का ध्यान","Noun"
"a 
slip of a thing","दुबला पतला","Noun"
"a 
snake in the grass","आस्तीन का साप","Noun"
"a 
square peg","बेमेल","Noun"
"a 
stick to beat with","सितारा मछली","Noun"
"a 
stitch in time saves nine","वक्त का एक टाँका बेवक्त के सौ टाँकों से बढकर है","Noun"
"a 
straw in the wind","संभावनाओं का सूक्ष्म संकेत","Noun"
"a 
tough nut","टेढी स्थिति","Noun"
"a 
tough nut","उल्झनकारी परिस्थिति","Noun"
"a 
trifle","थोड़्","Noun"
"a 
week last saturday","पिछला शनिवार","Noun"
"a 
wind of change","हवा का बदलता रुख","Noun"
"a 
wolf in sheeps clothing","बगुला भगत","Noun"
"a 
worm may turn","तंग आने पर दुर्बल भी चोट करता है","Noun"
"a  kind of sweet potato","शकालू","Noun"
"a babe in arms","नवजात शिशु","Noun"
"a back seat 
driver","पीछे की सीट पर 
बैठकर चालक को अनचाहा निर्देश देना वाला यात्री","Noun"
"a back seat driver","पीछे की सीट पर बैठकर चालक को अनचाहा निर्देश देना वाला यात्री","Noun"
"a bad 
lot","दुशचरित व्यक्ति","Noun"
"a bad dream","बहुत ही दुखद बात","Noun"
"a bad lot","दुशचरित व्यक्ति","Noun"
"a bad sailor","हमेशा उल्टी करने वाला समुद्री याट्री","Noun"
"a bad workman quarells with his tools.","नाच ना जाने आँगन टेढा","Noun"
"a bag of 
nerves","बहुत ही घबराय्","Noun"
"a bag of bones","हड्डियों का ढाँचा","Noun"
"a bag of nerves","बहुत ही घबराय्","Noun"
"a bakers dozen","तेरह","Noun"
"a ball of fire","बहुत उत्साही व्यक्ति","Noun"
"a ballpark figure","अनुमानित आँकड़ा","Noun"
"a ballpark figure","अनुमानित 
आँकड़ा","Noun"
"a baptism of fire","प्रथम दुःखद अनुभव","Noun"
"a beautiful woman","शोभना","Verb"
"a bed of 
roses","आरामदायक","Noun"
"a bed of roses","आरामदायक","Noun"
"a big fish in a little pond","अंधों में 
काना राजा","Noun"
"a big fish in a little pond","अंधों में काना राजा","Noun"
"a bird","मोनल","Noun"
"a bird in the hand is worth two in the 
bush","नौ 
नक़द न तेरह उधार","Noun"
"a bird in the hand is worth two in the bush","नौ नक़द न तेरह उधार","Noun"
"a birds eye view","विहंगम दृष्टि","Noun"
"a bit","थोड़ा","Adverb"
